"","State","FIPS_Codes","County","number_2004","number_2005","number_2006","number_2007","number_2008","number_2009","number_2010","number_2011","number_2012","percent_2004","percent_2005","percent_2006","percent_2007","percent_2008","percent_2009","percent_2010","percent_2011","percent_2012","Lat","Long"
"1","Alabama","01001","Autauga County",10690,10690,11210,11690,11760,11364,11310,10974,11310,31.9,31,31.5,33,32.7,32.2,29.4,27.9,28.7,32.536382,-86.64449
"2","Alabama","01003","Baldwin County",31400,31440,33360,31300,32740,33702,37735,35217,36100,26.8,25.8,26.2,24.5,25.2,25.1,27.6,25.2,25.2,30.659218,-87.746067
"3","Alabama","01005","Barbour County",7168,7523,7242,7097,7657,7633,7271,6744,6829,34.3,36.1,34.8,34,34.9,34.2,35,32.3,32.9,31.87067,-85.405456
"4","Alabama","01007","Bibb County",4428,4978,5627,5741,5890,5962,6341,5722,5730,28.4,31.5,35.4,36,36.6,37.2,37,33.2,33.2,33.015893,-87.127148
"5","Alabama","01009","Blount County",12010,12430,12670,13420,14680,15396,14633,12626,12130,29.8,30.3,30.3,32.2,34.6,35.9,35,29.8,28.5,33.977448,-86.567246
"6","Alabama","01011","Bullock County",2873,2862,2606,2542,2585,2462,2659,2657,2719,35.2,35.4,32.5,31.8,32.2,30.9,32.5,32.8,33.1,32.101759,-85.717261
"7","Alabama","01013","Butler County",4834,4629,4972,5050,5164,5320,5678,5702,5271,32.4,30.9,33.2,34.3,35,36.6,36.9,37.3,34.4,31.751667,-86.681969
"8","Alabama","01015","Calhoun County",25820,27000,26930,26990,27000,28546,29178,29098,29470,31.2,32.5,32.2,32.3,32.2,33.9,33.3,33.2,33.6,33.771706,-85.822513
"9","Alabama","01017","Chambers County",8428,8570,8955,8731,9224,9248,9938,9037,9018,32.3,32.9,34.6,33.9,36,35.8,38.7,35.3,34.8,32.917943,-85.391812
"10","Alabama","01019","Cherokee County",6552,7102,7390,6989,6904,6763,6779,5957,6225,35,37.7,38.7,37.1,36.5,35.9,34.2,29.8,31,34.069515,-85.654242
"11","Alabama","01021","Chilton County",9536,9811,10080,10050,10000,9718,9982,10152,10250,31.5,32.1,32.7,32.4,32.1,30.9,31.5,31.8,32,32.854059,-86.726627
"12","Alabama","01023","Choctaw County",3667,3572,3630,3308,3634,3639,3942,3579,3493,33.2,32.9,33.5,31.1,34.2,35,37.9,34.8,33.8,31.991008,-88.248887
"13","Alabama","01025","Clarke County",6435,6100,5892,6013,6921,7117,6923,5778,5630,33.4,31.7,30.2,31.5,36.2,38,37,31,30.2,31.685521,-87.818624
"14","Alabama","01027","Clay County",3312,3276,3640,3863,3836,3902,4119,3863,3689,31.3,31,34.5,36.4,36.1,37.5,39.4,37.6,36.2,33.267809,-85.862051
"15","Alabama","01029","Cleburne County",3294,3313,3426,3509,3530,3681,3829,3783,3692,30.4,30.5,31.1,31.9,31.8,33.5,34.7,34.1,33.2,33.671981,-85.516109
"16","Alabama","01031","Coffee County",9449,9997,11220,10480,10630,10261,11276,11013,11140,28.5,29.8,33,30.4,30.2,28.6,30.6,29.7,29.4,31.402183,-85.989201
"17","Alabama","01033","Colbert County",13130,13540,12640,13970,13440,14323,12599,13150,12260,32.1,33,30.6,33.9,32.4,34.7,30.7,31.9,29.7,34.703112,-87.801457
"18","Alabama","01035","Conecuh County",3438,3326,3496,3327,3481,3473,3657,3488,3286,35.3,34.3,35.4,34,35.6,36.1,37.3,35.4,33.5,31.428292,-86.992029
"19","Alabama","01037","Coosa County",2781,2788,2899,2981,2949,2857,2793,2750,2660,32.9,33.2,34.6,35.7,35.2,34.8,31.8,31.9,30.8,32.931445,-86.243482
"20","Alabama","01039","Covington County",7962,9080,9677,9664,10320,10276,10909,10762,10180,28.9,32.7,34.6,34.8,37.2,37.3,38.5,37.5,35.5,31.243987,-86.448721
"21","Alabama","01041","Crenshaw County",3044,3171,3137,3152,3190,3388,3456,3337,3294,30.1,31.3,30.7,30.8,31.1,33.5,33.9,32.3,31.6,31.732826,-86.319222
"22","Alabama","01043","Cullman County",16680,17310,18770,18540,19100,17892,18812,18491,17170,28.4,29.2,31.4,30.9,31.5,29.4,31.5,30.8,28.4,34.131923,-86.869267
"23","Alabama","01045","Dale County",11270,11720,10550,9973,9929,10943,11381,11202,10290,32.6,34.3,31,29.4,29.1,31.3,31.1,30.5,27.8,31.430654,-85.609476
"24","Alabama","01047","Dallas County",9931,10090,10680,10700,10520,9980,10681,10166,10450,32.3,33,35,35.5,34.8,34,34.5,33.2,34.2,32.33354,-87.114356
"25","Alabama","01049","DeKalb County",17250,18020,17120,15920,15250,13781,15932,15112,16700,35.1,36.5,34.4,32,30.5,27.5,31.3,29.4,32.4,34.460929,-85.803992
"26","Alabama","01051","Elmore County",14630,16030,17070,17430,17030,18398,18133,18093,17710,28,29.7,30.7,30.9,29.9,31.7,30.9,30.5,29.7,32.597229,-86.142738
"27","Alabama","01053","Escambia County",8728,8625,9423,9026,9570,10463,11072,10695,9575,30.9,30.7,33.6,32.3,34.4,37.6,38.7,37.4,33.4,31.121747,-87.168429
"28","Alabama","01055","Etowah County",24310,26090,27650,28100,27880,26313,26282,25105,25430,31.8,34,35.9,36.6,36.2,34.2,33.8,32.2,32.5,34.047638,-86.03442
"29","Alabama","01057","Fayette County",5051,4772,4657,4445,4451,4268,4139,3938,3938,37.3,35,34.4,33.3,33.2,32.7,32.1,30.6,30.5,33.732249,-87.752049
"30","Alabama","01059","Franklin County",6234,6645,7724,7522,7933,8379,8598,7727,8053,27.7,29.4,34,33.6,35.1,37.2,37.4,33.4,34.8,34.441988,-87.842815
"31","Alabama","01061","Geneva County",5713,5839,6667,6776,7224,6976,6951,6334,6223,29.8,30.3,34.2,34.8,36.8,35.3,34.5,31.3,30.5,31.090866,-85.824346
"32","Alabama","01063","Greene County",2391,2479,2386,2423,2459,2404,2376,2157,2165,35.5,36.6,36,36.6,37,38,36.5,32.9,33.1,32.844497,-87.9642
"33","Alabama","01065","Hale County",4680,4802,4803,4653,4816,4634,4359,3894,4009,36.4,36.9,36.7,35.5,36.4,35.6,38.3,34.6,35.3,32.752796,-87.623061
"34","Alabama","01067","Henry County",4212,4277,4072,3818,3858,3842,3946,3898,3777,34.2,34.4,32.4,30.6,30.8,30.9,30.3,29.8,28.8,31.516978,-85.239971
"35","Alabama","01069","Houston County",19800,21660,19830,22190,22290,24254,24586,22604,23200,29.5,31.7,28.4,31.5,31.1,33.1,33.1,30.1,30.5,31.158193,-85.296398
"36","Alabama","01071","Jackson County",14010,13210,12960,12340,12120,11963,12858,13234,12880,35,33,32.2,30.9,30.3,30.1,32.3,32.9,32,34.763522,-85.9774
"37","Alabama","01073","Jefferson County",141000,137600,136900,136900,140300,142861,145373,135032,138000,29.4,28.7,28.6,28.4,29,29.2,29.9,27.7,28.3,33.553444,-86.896536
"38","Alabama","01075","Lamar County",3212,3154,3559,3510,3752,3858,4095,3864,3601,28.3,28,32.2,31.7,34.1,35.6,37.3,35.5,33.1,33.787085,-88.087431
"39","Alabama","01077","Lauderdale County",18390,18670,20240,21090,22370,22326,22714,20719,20780,28.1,28.3,30.4,31.4,33.1,32.7,32.6,29.5,29.6,34.904122,-87.650997
"40","Alabama","01079","Lawrence County",7766,8014,8022,8231,7839,9162,8881,9179,8850,30.8,31.5,31.6,32.2,30.8,36,34.8,36.1,34.9,34.529776,-87.321865
"41","Alabama","01081","Lee County",21800,24620,24830,25610,24640,26754,26758,25212,25130,25.5,28,27.6,27.4,25.8,27.4,26.4,24.1,23.2,32.604064,-85.353048
"42","Alabama","01083","Limestone County",15760,15740,16070,16770,17720,18208,18590,19675,20460,30.9,30.2,29.8,30.7,31.5,31.3,30.3,31,31.6,34.810239,-86.981399
"43","Alabama","01085","Lowndes County",3206,3302,3100,3197,3181,3356,2951,2599,2465,35.7,36.7,34.6,35.4,35.1,38.1,36,32.1,30.8,32.147888,-86.650586
"44","Alabama","01087","Macon County",5821,5587,5612,5281,5376,4943,5206,4999,4718,36.1,35,35.1,33,33.5,31.4,33,32,31.1,32.387027,-85.692887
"45","Alabama","01089","Madison County",55430,56650,62820,60140,63370,60218,64762,61392,62560,26.1,26.1,28.3,26.5,27.3,25.2,26.3,24.6,24.6,34.764238,-86.55108
"46","Alabama","01091","Marengo County",5086,5297,5256,5353,5399,5302,5238,5122,5205,33.1,34.5,34.1,35.2,35.6,35.4,34.4,33.8,34.7,32.247591,-87.791091
"47","Alabama","01093","Marion County",7719,7499,8099,7555,8169,7902,9903,8537,8353,33.6,32.7,35.1,33.3,36.1,35.6,42.3,36.6,35.7,34.138219,-87.881551
"48","Alabama","01095","Marshall County",19760,21720,22430,21190,21000,20792,23676,21797,21720,32,34.8,35.4,33.5,33,32.3,35.1,32,31.6,34.309564,-86.321668
"49","Alabama","01097","Mobile County",88400,87290,84320,87060,89230,89871,91316,86543,89190,31.4,30.9,29.5,30.4,31,30.6,30.7,28.9,29.6,30.684573,-88.196568
"50","Alabama","01099","Monroe County",6005,5915,6156,5216,5025,5130,5713,5603,5313,36.1,35.5,37.1,32,30.9,31.8,34.6,33.9,32.1,31.580332,-87.383266
"51","Alabama","01101","Montgomery County",45810,45210,42590,44970,44870,47466,48651,46761,46170,29.3,29,27,28.2,28.2,29.6,29.3,28.1,28,32.20365,-86.203831
"52","Alabama","01103","Morgan County",21140,22180,21920,21990,23150,23300,26484,25516,27250,25.6,26.5,25.8,26,27,27.2,30.1,28.8,30.5,34.454484,-86.846402
"53","Alabama","01105","Perry County",2683,2658,2455,2341,2415,2492,2487,2494,2344,35.5,35.4,33,32.6,33.4,34.5,33.5,33.6,32.6,32.639005,-87.293827
"54","Alabama","01107","Pickens County",4913,5129,4902,4834,4930,4750,5068,4586,4886,34,35.5,33.8,33.7,34.3,33.4,34.7,31.7,33.6,33.296808,-88.096878
"55","Alabama","01109","Pike County",6813,7091,6716,7036,7273,7190,7873,7208,7077,32.2,33.2,31.2,32.3,33,32.4,32.6,29.4,28.5,31.798726,-85.941997
"56","Alabama","01111","Randolph County",5292,4963,4468,4719,5179,5835,5866,5692,5162,32.1,30,26.9,28.6,31,34.8,34.9,33.8,30.6,33.296475,-85.464068
"57","Alabama","01113","Russell County",11690,11760,11630,11990,13240,13686,13426,12932,12970,33.1,33.1,32.3,33.2,36.3,36.9,35.2,32.6,31.1,32.289811,-85.18698
"58","Alabama","01115","St. Clair County",14640,15250,15130,16870,18760,21463,21073,18204,18130,28.3,28.5,27,29.3,31.8,35.2,34,29.1,28.6,33.712963,-86.315663
"59","Alabama","01117","Shelby County",25370,26460,29890,29490,32660,32316,34638,31913,34430,21.4,21.5,23.3,22.8,24.4,23.5,24.5,22.2,23.6,33.262937,-86.678104
"60","Alabama","01119","Sumter County",3208,3222,3091,3080,3164,3030,3145,3108,3107,33.1,33.6,32.4,32.1,32.8,32.8,31.2,31.2,31.2,32.597481,-88.200057
"61","Alabama","01121","Talladega County",19520,18690,20220,19760,20580,20881,21833,22312,20880,33.3,31.7,34.2,33.3,34.6,35.1,36,36.7,34.1,33.369277,-86.175805
"62","Alabama","01123","Tallapoosa County",9964,9745,9694,9562,9719,9538,10027,9643,10080,32.9,32.1,31.6,31.3,31.6,30.9,32.1,30.8,32.2,32.863369,-85.799553
"63","Alabama","01125","Tuscaloosa County",36930,37290,38490,37640,37980,38093,40552,40187,41210,30.5,30.4,30.9,29.3,29.2,28.7,28.5,27.9,28.2,33.290202,-87.52286
"64","Alabama","01127","Walker County",17860,17840,19610,19220,19360,19578,19317,17989,16900,34.3,34.1,37.4,37.3,37.4,37.9,38.4,35.8,33.8,33.791571,-87.301092
"65","Alabama","01129","Washington County",4208,4288,4192,4212,4325,4100,4053,3882,4195,33.6,34.1,33.3,33.7,34.4,32.8,32.1,30.9,33.3,31.406974,-88.202078
