"","State","FIPS_Codes","County","number_2004","number_2005","number_2006","number_2007","number_2008","number_2009","number_2010","number_2011","number_2012","percent_2004","percent_2005","percent_2006","percent_2007","percent_2008","percent_2009","percent_2010","percent_2011","percent_2012","Lat","Long"
"1","Alabama","01001","Autauga County",10180,10050,9912,10640,11350,12024,11761,12340,12184,30.2,28.87,27.9,30,31.5,34.1,30.5,31.3,30.9,32.536382,-86.64449
"2","Alabama","01003","Baldwin County",30120,30710,30460,31240,33960,34244,36348,35005,38245,25.7,25.11,23.9,24.5,26.2,25.5,26.6,25,26.7,30.659218,-87.746067
"3","Alabama","01005","Barbour County",6645,6972,7595,7591,8240,8264,7743,8021,8482,31.7,33.04,36.5,36.4,37.6,37,37.3,38.4,40.8,31.87067,-85.405456
"4","Alabama","01007","Bibb County",4605,4910,4972,5062,5200,5460,5884,6423,6926,29.3,30.79,31.3,31.7,32.3,34,34.3,37.3,40.1,33.015893,-87.127148
"5","Alabama","01009","Blount County",10330,11450,12080,13120,13530,13759,12690,13073,13789,25.5,27.67,28.9,31.5,31.9,32,30.4,30.9,32.4,33.977448,-86.567246
"6","Alabama","01011","Bullock County",2883,2956,2963,2979,3035,3146,3446,3502,3651,35.1,36.13,37,37.3,37.8,39.4,42.1,43.2,44.5,32.101759,-85.717261
"7","Alabama","01013","Butler County",4503,4548,4711,5236,5430,5927,5892,5878,5514,30,30,31.4,35.5,36.8,40.8,38.3,38.4,36,31.751667,-86.681969
"8","Alabama","01015","Calhoun County",23960,25150,27210,27740,28070,28293,29091,27627,28107,28.8,30.09,32.6,33.2,33.5,33.6,33.2,31.5,32,33.771706,-85.822513
"9","Alabama","01017","Chambers County",7980,7903,8576,9184,9088,9082,9085,10183,10300,30.4,30.14,33.1,35.7,35.5,35.2,35.4,39.7,39.8,32.917943,-85.391812
"10","Alabama","01019","Cherokee County",4964,5271,5871,5785,5966,5772,6211,6053,6572,26.5,27.94,30.7,30.7,31.5,30.6,31.4,30.3,32.7,34.069515,-85.654242
"11","Alabama","01021","Chilton County",8445,8956,10030,10530,10850,11087,12123,11798,11899,27.8,29.09,32.5,33.9,34.8,35.3,38.3,37,37.1,32.854059,-86.726627
"12","Alabama","01023","Choctaw County",3461,3486,3774,3843,3870,3985,4046,4136,4007,31.2,31.92,34.8,36.1,36.5,38.3,38.9,40.2,38.7,31.991008,-88.248887
"13","Alabama","01025","Clarke County",6095,6150,6852,6699,6890,6635,6728,6568,6722,31.4,31.64,35.2,35.1,36,35.4,36,35.2,36.1,31.685521,-87.818624
"14","Alabama","01027","Clay County",2968,2992,3248,3349,3420,3566,3687,3835,3841,27.8,28.04,30.8,31.6,32.2,34.3,35.3,37.4,37.7,33.267809,-85.862051
"15","Alabama","01029","Cleburne County",2992,3185,3247,3214,3193,3286,3454,3378,3336,27.5,29.2,29.4,29.3,28.8,29.9,31.3,30.4,30,33.671981,-85.516109
"16","Alabama","01031","Coffee County",10120,10520,11430,11210,11510,11515,11019,10539,11446,30.4,31.13,33.6,32.5,32.7,32.1,29.9,28.5,30.2,31.402183,-85.989201
"17","Alabama","01033","Colbert County",11240,11990,13980,14720,14350,13667,13207,13971,15140,27.3,28.98,33.9,35.7,34.7,33.1,32.2,33.9,36.6,34.703112,-87.801457
"18","Alabama","01035","Conecuh County",3121,3098,3329,3193,3147,3173,3559,3851,3652,31.9,31.86,33.7,32.6,32.1,33,36.3,39.1,37.2,31.428292,-86.992029
"19","Alabama","01037","Coosa County",2563,2727,2832,2877,2781,2772,3014,3203,3355,30.2,32.36,33.8,34.5,33.2,33.8,34.3,37.2,38.8,32.931445,-86.243482
"20","Alabama","01039","Covington County",7418,7642,8125,8784,9389,10024,9585,9262,9059,26.8,27.42,29,31.6,33.8,36.4,33.8,32.3,31.6,31.243987,-86.448721
"21","Alabama","01041","Crenshaw County",2952,3257,3442,3541,3442,3761,3648,3826,3812,29.1,31.84,33.7,34.6,33.6,37.2,35.7,37.1,36.6,31.732826,-86.319222
"22","Alabama","01043","Cullman County",14710,15540,16410,17640,18270,19466,19334,20685,20977,25,26,27.4,29.4,30.1,32,32.4,34.4,34.7,34.131923,-86.869267
"23","Alabama","01045","Dale County",10060,10630,10500,11230,11710,12430,12908,12614,13416,29,30.75,30.9,33.1,34.4,35.6,35.3,34.4,36.2,31.430654,-85.609476
"24","Alabama","01047","Dallas County",10820,11250,12140,12410,12060,12169,12808,12778,12962,35,36.53,39.7,41.2,39.9,41.4,41.4,41.7,42.4,32.33354,-87.114356
"25","Alabama","01049","DeKalb County",12570,14180,14960,15770,15860,16951,16498,16480,15773,25.5,28.56,30,31.7,31.7,33.9,32.4,32.1,30.6,34.460929,-85.803992
"26","Alabama","01051","Elmore County",14340,15410,15850,16040,16510,18249,17979,17855,18042,27.3,28.34,28.5,28.5,29,31.5,30.6,30.1,30.3,32.597229,-86.142738
"27","Alabama","01053","Escambia County",8616,9235,9640,9826,9575,9894,10546,10963,11309,30.4,32.66,34.4,35.2,34.4,35.5,36.9,38.3,39.4,31.121747,-87.168429
"28","Alabama","01055","Etowah County",22070,22690,23390,25000,23740,24740,24677,26361,27163,28.7,29.44,30.3,32.5,30.8,32.1,31.8,33.8,34.7,34.047638,-86.03442
"29","Alabama","01057","Fayette County",3984,4257,4355,4404,4339,4768,4699,4673,4178,29.3,31.08,32.1,33,32.3,36.5,36.4,36.3,32.4,33.732249,-87.752049
"30","Alabama","01059","Franklin County",6259,6715,7197,6675,6666,7033,7882,7755,7904,27.7,29.47,31.7,29.8,29.5,31.2,34.3,33.5,34.2,34.441988,-87.842815
"31","Alabama","01061","Geneva County",5547,5756,5887,6278,6280,7003,6849,6985,7089,28.9,29.54,30.2,32.3,32,35.5,34,34.5,34.7,31.090866,-85.824346
"32","Alabama","01063","Greene County",2388,2407,2769,2875,2904,3013,3122,3154,3009,35.2,35.32,41.8,43.5,43.7,47.6,47.9,48.1,45.9,32.844497,-87.9642
"33","Alabama","01065","Hale County",4412,4652,4987,5055,5317,5658,4735,4074,4076,34.1,35.41,38.1,38.6,40.2,43.5,41.6,36.2,35.9,32.752796,-87.623061
"34","Alabama","01067","Henry County",3762,3749,4228,4158,4233,4182,4504,4459,4612,30.5,30.08,33.6,33.3,33.8,33.7,34.6,34.1,35.2,31.516978,-85.239971
"35","Alabama","01069","Houston County",18180,21690,23820,23220,23810,24130,25956,24721,25541,27,31.63,34.2,33,33.2,33,34.9,32.9,33.6,31.158193,-85.296398
"36","Alabama","01071","Jackson County",12160,12080,12260,12300,12650,12116,11950,11664,12300,30.3,30.02,30.4,30.8,31.6,30.5,30,29,30.6,34.763522,-85.9774
"37","Alabama","01073","Jefferson County",133800,140700,144200,149800,151700,156539,156519,160007,164418,27.8,29.16,30.1,31.1,31.4,32,32.2,32.9,33.7,33.553444,-86.896536
"38","Alabama","01075","Lamar County",3039,3073,3143,3305,3384,3485,3434,3571,3533,26.7,26.96,28.4,29.8,30.8,32.2,31.3,32.8,32.5,33.787085,-88.087431
"39","Alabama","01077","Lauderdale County",18560,19260,18880,20210,19680,22148,22490,21937,22231,28.2,29,28.4,30.1,29.1,32.4,32.2,31.2,31.6,34.904122,-87.650997
"40","Alabama","01079","Lawrence County",7056,7482,7806,8200,8358,9707,9609,9830,9211,27.8,29.22,30.7,32.1,32.8,38.1,37.7,38.6,36.3,34.529776,-87.321865
"41","Alabama","01081","Lee County",22430,24720,27060,28180,28760,29282,32508,31353,32031,25.6,27.46,30.1,30.2,30.1,30,32,30,29.5,32.604064,-85.353048
"42","Alabama","01083","Limestone County",14780,14570,14880,15120,16380,18293,20780,21168,21752,28.8,27.75,27.6,27.7,29.1,31.4,33.8,33.4,33.5,34.810239,-86.981399
"43","Alabama","01085","Lowndes County",3090,3154,3272,3639,3683,3924,3595,3540,3716,34.2,34.83,36.5,40.3,40.6,44.6,43.8,43.7,46.4,32.147888,-86.650586
"44","Alabama","01087","Macon County",6148,5968,6291,6431,6425,6512,6179,6514,6439,37.7,36.98,39.4,40.2,40,41.4,39.2,41.7,42.4,32.387027,-85.692887
"45","Alabama","01089","Madison County",57650,59620,64820,70140,71140,75124,73772,76623,79225,27.1,27.39,29.2,30.9,30.6,31.4,30,30.6,31.2,34.764238,-86.55108
"46","Alabama","01091","Marengo County",4914,5109,5806,5624,5702,6020,6330,6408,6202,31.8,33.07,37.6,37,37.6,40.2,41.6,42.3,41.3,32.247591,-87.791091
"47","Alabama","01093","Marion County",6296,6763,6567,6651,6463,7253,7715,7939,8152,27.3,29.34,28.5,29.3,28.6,32.7,33,34.1,34.9,34.138219,-87.881551
"48","Alabama","01095","Marshall County",17450,18410,17670,17360,16890,18733,21255,23138,24051,28.2,29.44,27.9,27.4,26.5,29.1,31.5,33.9,35,34.309564,-86.321668
"49","Alabama","01097","Mobile County",85250,86630,88760,85550,87250,93141,100884,107420,108908,30.2,30.42,31,29.9,30.3,31.7,33.9,35.9,36.1,30.684573,-88.196568
"50","Alabama","01099","Monroe County",5115,5284,5716,5904,5750,5716,5933,5989,6158,30.6,31.32,34.5,36.2,35.4,35.5,35.9,36.3,37.2,31.580332,-87.383266
"51","Alabama","01101","Montgomery County",46250,47780,52270,52640,54160,54690,58659,57514,55496,29.4,30.29,33.1,33,34,34.1,35.3,34.6,33.6,32.20365,-86.203831
"52","Alabama","01103","Morgan County",21820,22980,25480,29650,29850,28192,25038,26743,28712,26.3,27.36,30,35,34.8,32.9,28.5,30.2,32.2,34.454484,-86.846402
"53","Alabama","01105","Perry County",2700,2710,2932,2888,2945,2899,2891,2870,2719,35.4,35.9,39.4,40.2,40.7,40.2,38.9,38.7,37.8,32.639005,-87.293827
"54","Alabama","01107","Pickens County",4459,4760,5075,5072,5014,5176,5620,5795,5443,30.6,32.68,35,35.3,34.8,36.4,38.5,40.1,37.4,33.296808,-88.096878
"55","Alabama","01109","Pike County",6474,7048,7646,8002,7743,8198,8687,8660,8468,30.3,32.57,35.6,36.7,35.1,36.9,36,35.3,34.1,31.798726,-85.941997
"56","Alabama","01111","Randolph County",4883,5190,5431,5239,5315,5373,5743,5742,5606,29.5,31.05,32.7,31.7,31.9,32.1,34.2,34.1,33.2,33.296475,-85.464068
"57","Alabama","01113","Russell County",11490,11720,11970,12550,13370,14588,13928,13563,14501,32.5,32.87,33.3,34.8,36.7,39.3,36.5,34.2,34.8,32.289811,-85.18698
"58","Alabama","01115","St. Clair County",14350,15640,16570,19530,19910,21707,20418,19881,20990,27.6,29.03,29.6,33.9,33.7,35.6,32.9,31.7,33.1,33.712963,-86.315663
"59","Alabama","01117","Shelby County",28830,31730,34590,36300,37970,38604,41809,45182,45736,24.1,25.53,26.9,28.1,28.4,28,29.6,31.5,31.3,33.262937,-86.678104
"60","Alabama","01119","Sumter County",3431,3399,3604,3839,3934,3886,4032,4026,3935,35,35.07,37.7,40,40.8,42.1,40.1,40.4,39.6,32.597481,-88.200057
"61","Alabama","01121","Talladega County",17960,17910,18460,19460,20270,21867,23290,23070,23018,30.5,30.2,31.2,32.8,34,36.8,38.4,38,37.6,33.369277,-86.175805
"62","Alabama","01123","Tallapoosa County",8152,8769,9127,10090,10430,11408,10992,11170,11426,26.8,28.68,29.8,33,33.9,36.9,35.1,35.6,36.5,32.863369,-85.799553
"63","Alabama","01125","Tuscaloosa County",34890,36910,38680,41450,42940,45953,47144,47528,47870,28.5,29.78,31.1,32.2,33.1,34.6,33.2,32.9,32.7,33.290202,-87.52286
"64","Alabama","01127","Walker County",15230,15900,16540,16710,17130,17982,18095,16785,16436,29.1,30.2,31.6,32.4,33.1,34.8,36,33.4,32.9,33.791571,-87.301092
"65","Alabama","01129","Washington County",3785,3997,4365,4320,4382,4525,4543,4537,4530,30.1,31.56,34.6,34.6,34.9,36.2,35.9,36.1,36,31.406974,-88.202078
"66","Alabama","01131","Wilcox County",3112,3094,3295,3435,3604,3657,3391,3501,3627,35.7,35.29,37.7,39.4,40.8,43.4,41.6,42.8,44.4,31.99033,-87.302205
"67","Alabama","01133","Winston County",5158,5405,5272,5202,5340,6552,6629,6189,5323,27.9,29.05,28.4,28.3,29.3,36,35.7,33.4,28.7,34.155888,-87.364147
"68","Alaska","02013","Aleutians East Borough",639.6,657,692.5,643.7,689.8,741,883,895,854,28,28.24,30.4,28.2,28.4,31.4,32.3,32.3,31.1,55.243722,-161.950749
"69","Alaska","02016","Aleutians West",1029,1023,1165,1194,1169,1067,1390,1532,1709,22.4,22.33,25.9,28.9,30,27.9,30,32.9,36.2,NA,NA
"70","Alaska","02020","Anchorage Municipality",47230,47140,50140,51120,52590,52330,53640,56782,57981,25.3,25.05,25.5,25.9,26.5,25.7,25.7,26.8,27,61.177549,-149.274354
"71","Alaska","02050","Bethel Census Area",2585,3072,3574,3583,3254,3161,3230,3411,3382,26.8,31.65,35,34.4,31.9,30.1,31.5,32.4,31.6,60.928916,-160.15335
"72","Alaska","02060","Bristol Bay Borough",214.6,248,248.1,246.7,230.7,240,236,256,248,27.6,31.03,33.8,34.2,32.6,34.9,31.1,33.1,34.1,58.731372,-156.986612
"73","Alaska","02068","Denali Borough",323.3,333,385.8,409.1,430.5,394,343,331,354,22,23.27,26.8,28.4,29.8,28.4,24.7,23.6,24.7,63.682732,-150.026719
"74","Alaska","02070","Dillingham Census Area",773.4,861,1066,1219,1236,1104,983,1003,1130,25.9,28.66,34.1,37.3,38.5,34.2,31.8,31.6,35.3,59.824816,-158.602233
"75","Alaska","02090","Fairbanks North Star",14880,16030,16180,17550,17400,19135,20407,20259,20703,25.6,27.32,27.2,26.1,25.5,27.5,29.1,28.5,28.6,NA,NA
"76","Alaska","02100","Haines Borough",409.6,443,469.3,513.1,527.5,596,582,572,533,23.8,25.23,26.8,28.2,29.4,31.9,29.6,28.4,26.5,59.099905,-135.578102
"77","Alaska","02105","Hoonah-Angoon 2009 Census",NA,NA,NA,NA,NA,551,506,511,524,NA,NA,NA,NA,NA,33.3,30.3,31.1,31.5,NA,NA
"78","Alaska","02110","Juneau City and Borough",4873,5234,5706,6144,6210,6008,6024,6416,6546,22,23.56,25.2,26.7,26.7,26.2,26,26.9,27,58.3727,-134.178781
"79","Alaska","02122","Kenai Peninsula Borough",9481,9447,10730,11430,11830,11600,11268,11486,11870,26.2,25.68,28.3,29.4,29.9,28.9,27.5,27.5,28,60.366373,-152.321973
"80","Alaska","02130","Ketchikan Gateway Borough",2405,2503,2884,3237,3301,3061,2903,2823,3002,25.7,26.62,29.8,33.1,34,32.4,29.2,28,29.3,55.449938,-131.106685
"81","Alaska","02150","Kodiak Island Borough",1927,2094,2282,2381,2365,2694,2822,3036,2905,22,24.05,25.8,26.6,26.2,29.8,30.1,31.5,29.3,57.553611,-153.630911
"82","Alaska","02164","Lake and Peninsula Borough",297,304,323.2,346.3,341.6,341,343,365,359,29.6,30.44,31.8,34,34.3,33.7,31.5,32.6,32.4,58.205065,-156.705188
"83","Alaska","02170","Matanuska-Susitna Borough",11810,13010,16240,16880,17120,18190,18300,18804,18764,24,24.78,28.3,28.7,27.9,29.6,29.8,29.8,28.9,62.182174,-149.407974
"84","Alaska","02180","Nome Census Area",1535,1551,1605,1845,1914,2136,2104,2092,2052,27.3,27.54,28.1,31.4,33,35.7,35.6,34.1,33.3,64.783686,-164.188912
"85","Alaska","02185","North Slope Borough",1171,1205,1303,1527,1547,1665,2460,2390,2482,28.6,29.8,32.2,37,37.7,39.4,35.6,34.2,35.3,69.449343,-153.47283
"86","Alaska","02188","Northwest Arctic Borough",1280,1293,1398,1453,1412,1348,1359,1399,1542,30.2,30.26,31.3,32.2,31.3,29.7,29.7,29.7,32.5,67.005066,-160.021086
"87","Alaska","02195","Petersburg 2009 Census",NA,NA,NA,NA,NA,892,871,855,857,NA,NA,NA,NA,NA,31.3,30.6,29.9,29.8,NA,NA
"88","Alaska","02198","Prince of Wales-Hyder 2009 Census",NA,NA,NA,NA,NA,1469,1368,1481,1479,NA,NA,NA,NA,NA,36.2,33.7,35.5,35.3,NA,NA
"89","Alaska","02201","Prince of Wales-Outer K 2004 to 2008 Census",1113,1245,1296,1424,1404,NA,NA,NA,NA,27.6,30.76,31.2,34.2,33.8,NA,NA,NA,NA,NA,NA
"90","Alaska","02220","Sitka City and Borough",1339,1442,1685,1915,2033,1935,1870,1918,1827,21.3,22.47,25.8,28.7,30.5,29.7,28.2,28.8,27,57.142508,-135.332624
"91","Alaska","02230","Skagway Municipality 2009 Census",NA,NA,NA,NA,NA,202,241,240,255,NA,NA,NA,NA,NA,27.4,30,30.4,30.6,NA,NA
"92","Alaska","02232","Hoonah-Angoon 2004 to 2008 Census",621.5,692,778.9,820.3,295.7,NA,NA,NA,NA,26.4,29.25,32.8,34.3,30.6,NA,NA,NA,NA,NA,NA
"93","Alaska","02240","Southeast Fairbanks Census",1092,1291,1478,1519,1460,1422,1594,1651,1689,26.9,29,31.8,32.7,31.4,31,31.7,32.5,33,NA,NA
"94","Alaska","02261","Valdez-Cordova Census Area",1973,2042,2305,2237,2302,1976,2004,2119,2147,28.5,29.14,32.2,31.8,32.9,29.1,28.3,29.7,30.4,61.34984,-145.023141
"95","Alaska","02270","Wade Hampton Census Area",1144,1040,1166,1248,1368,1274,1121,1451,1470,30.2,27.48,28.7,29.9,32.5,29.7,27.6,34.6,34.4,62.283174,-163.19095
"96","Alaska","02275","Wrangell City and Borough 2009 Census",NA,NA,NA,NA,NA,495,567,549,536,NA,NA,NA,NA,NA,30.7,31.4,30.3,29.4,NA,NA
"97","Alaska","02280","Wrangell-Petersburg 2004 to 2008 Census",1060,1161,1147,1151,1164,NA,NA,NA,NA,24,26.12,25.7,25.4,25.9,NA,NA,NA,NA,NA,NA
"98","Alaska","02282","Yakutat City and Borough",144.9,147,144.7,148.9,148.5,154,153,153,159,27.4,26.56,27.9,28.7,29.2,30.5,31.6,31.1,32.1,59.999083,-140.239593
"99","Alaska","02290","Yukon-Koyukuk Census Area",950.2,962,1088,1190,1283,1293,1127,1053,1066,23.4,23.95,27.2,29.4,32.2,32.6,29,26.3,26.5,65.376131,-151.576855
"100","Arizona","04001","Apache County",11820,12250,13260,14310,14660,15118,14800,15082,15828,28.5,28.93,29.8,31.5,31.7,33.3,31.8,31.9,32.8,35.385845,-109.493747
"101","Arizona","04003","Cochise County",19860,20360,21500,20700,21850,22344,24096,23250,24204,22.7,22.63,23.5,22.4,23.3,23.7,24.7,23.6,24.7,31.881793,-109.75412
"102","Arizona","04005","Coconino County",16530,17680,18000,19490,18930,22860,22151,22979,20862,19.6,20.6,20.7,21.5,20.8,25.3,23.3,24,21.5,35.829692,-111.773728
"103","Arizona","04007","Gila County",8546,8919,9988,10530,10070,10039,10761,11134,10954,22.9,23.58,25.8,27.1,25.8,25.8,26.3,27.1,26.8,33.789618,-110.81187
"104","Arizona","04009","Graham County",5040,5202,5877,6971,7650,8304,8500,8919,8069,22.8,23.12,25.3,28.7,30.1,32.5,33.9,35,31.8,32.931828,-109.87831
"105","Arizona","04011","Greenlee County",1183,1197,1359,1704,1838,1913,1959,2084,2001,23.5,23.29,25.6,31.6,32.8,35.8,34.2,35.4,33.4,33.238872,-109.242323
