"State","OB_S_percent(M)_2009","OB_S_percent(M)_2010","OB_S_percent(M)_2011","OB_S_percent(M)_2012","OB_S_percent(F)_2009","OB_S_percent(F)_2010","OB_S_percent(F)_2011","OB_S_percent(F)_2012","AC_S_percent(M)_2009","AC_S_percent(M)_2010","AC_S_percent(M)_2011","AC_S_percent(M)_2012","AC_S_percent(F)_2009","AC_S_percent(F)_2010","AC_S_percent(F)_2011","AC_S_percent(F)_2012"
"Alabama",28.4850746268657,29.1298507462687,27.6791044776119,27.6791044776119,35.2238805970149,35.5029850746269,36.1179104477612,36.3910447761194,28.4850746268657,29.1298507462687,27.6791044776119,27.6791044776119,37.4283582089552,37.5805970149254,35.5298507462687,34.6641791044776
"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona",22.8066666666667,22.7333333333333,21.68,22.2133333333333,27.2133333333333,27.5266666666667,27.4,27.3866666666667,22.8066666666667,22.7333333333333,21.68,22.2133333333333,25.32,24.5733333333333,24.1066666666667,24.6133333333333
"Arkansas",29.5026666666667,29.9173333333333,30.5066666666667,32.0693333333333,32.5186666666667,33.0493333333333,33.732,34.72,29.5026666666667,29.9173333333333,30.5066666666667,32.0693333333333,35.5786666666667,35.3373333333333,35.0306666666667,36.0706666666667
"California",17.0344827586207,16.648275862069,15.9758620689655,16.3637931034483,23.5724137931034,23.2241379310345,22.8844827586207,23.1,17.0344827586207,16.648275862069,15.9758620689655,16.3637931034483,19.9948275862069,18.5775862068966,18.2706896551724,17.5137931034483
"Colorado",18.80625,18.425,17.090625,17.2890625,18.7265625,19.428125,19.4671875,19.9265625,18.80625,18.425,17.090625,17.2890625,19.671875,18.828125,18.0421875,17.7921875
"Connecticut",20.5875,20.85,19.4625,20.15,22.1625,22.575,23.025,22.9875,20.5875,20.85,19.4625,20.15,23.5375,23.4625,22.6125,22.675
"Delaware",22.7333333333333,23.1,22.7666666666667,24,29.2,29.8,29.7333333333333,30.4,22.7333333333333,23.1,22.7666666666667,24,27.9,27.7,27.1333333333333,27.6666666666667
"District of Columbia",17,16.6,15.9,15.2,24.9,24.2,24.4,25,17,16.6,15.9,15.2,22,20.6,18.8,18.6
"Florida",24.3925373134328,24.4194029850746,24.0119402985075,25.3567164179104,27.8119402985075,28.2597014925373,28.4089552238806,28.8059701492537,24.3925373134328,24.4194029850746,24.0119402985075,25.3567164179104,29.2194029850746,29.3567164179104,28.9940298507463,28.9313432835821
