"","State","OB_percent_2004","OB_percent_2005","OB_percent_2006","OB_percent_2007","OB_percent_2008","OB_percent_2009","OB_percent_2010","OB_percent_2011","OB_percent_2012","AC_percent_2004","AC_percent_2005","AC_percent_2006","AC_percent_2007","AC_percent_2008","AC_percent_2009","AC_percent_2010","AC_percent_2011","AC_percent_2012"
"1","Alabama",29.5492537313433,30.5602985074627,32.3074626865672,33.3358208955224,33.6194029850746,35.1268656716418,35.0820895522388,35.2850746268657,35.444776119403,31.6582089552239,32.0716417910448,32.3089552238806,32.1805970149254,32.7970149253731,33.1761194029851,33.5537313432836,31.7865671641791,31.3268656716418
"2","Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Arizona",22.14,22.4333333333333,23.74,25.3266666666667,26.0666666666667,27.78,27.8066666666667,27.9533333333333,27.44,21.3133333333333,21.3933333333333,22.7666666666667,23.9933333333333,24.1933333333333,24.0866666666667,23.6733333333333,22.8933333333333,23.4066666666667
"4","Arkansas",27.2093333333333,27.9976,29.404,30.0613333333333,31.3226666666667,33.1773333333333,33.616,34.1413333333333,34.9946666666667,31.4506666666667,31.308,31.6666666666667,31.4826666666667,32.0573333333333,32.632,32.7026666666667,32.8226666666667,34.1253333333333
"5","California",20.9706896551724,21.4141379310345,22.1310344827586,23.3413793103448,24.2637931034483,24.6603448275862,24.2189655172414,23.9,24.1206896551724,18.2810344827586,17.8931034482759,18.1034482758621,18.7862068965517,18.55,18.4896551724138,17.6137931034483,17.1224137931034,16.9327586206897
"6","Colorado",16.2484375,16.3859375,17.8765625,18.4296875,18.975,20.1984375,20.6828125,20.9375,20.6890625,16.9625,16.6234375,16.328125,17.1953125,17.4203125,19.2265625,18.61875,17.546875,17.525
"7","Connecticut",19.6625,20.48,21.55,22.0375,22.975,23.6375,24.35,25.025,24.9625,19.5875,19.7625,20.275,20.5375,21.4125,22.125,22.2125,21.075,21.45
"8","Delaware",24.9666666666667,25.69,27.7333333333333,28.9333333333333,29.5,29.7333333333333,30.1333333333333,29.7666666666667,30.4,25,24.1,24.2333333333333,24.6666666666667,24.8333333333333,25.4333333333333,25.5,25.0333333333333,25.9333333333333
"9","District of Columbia",20,21.09,21.5,22,21.2,21.5,21,21.5,22.1,20.8,20.9,20.4,20.2,19.9,19.7,18.7,17.5,17
"10","Florida",23.489552238806,24.0065671641791,26.4089552238806,26.8164179104478,27.2313432835821,29.5731343283582,29.7776119402985,29.9402985074627,30.0074626865672,26.0388059701493,25.0179104477612,26.3268656716418,26.4641791044776,26.7402985074627,26.7089552238806,26.8134328358209,26.4149253731343,27.1059701492537
"11","Georgia",27.0685534591195,27.5629559748428,29.0591194968553,29.6169811320755,29.9308176100629,30.8169811320755,31.1635220125786,31.3490566037736,31.5245283018868,29.0345911949686,29.1364779874214,28.6339622641509,27.4849056603774,27.1559748427673,27.6377358490566,28.3622641509434,28.1245283018868,28.4893081761006
"12","Hawaii",19.36,20.902,21.08,21.62,22,23.56,23.06,22.94,22.46,19.1,18.62,17.9,17.64,17.78,18.04,19,18.68,19.8
"13","Idaho",22.8909090909091,24.1647727272727,25.5613636363636,26.5909090909091,26.5113636363636,27.6090909090909,27.6431818181818,28.3977272727273,28.8340909090909,21.6522727272727,22.0840909090909,22.0340909090909,22.75,22.9409090909091,23.5295454545455,22.6590909090909,21.6318181818182,22.4045454545455
"14","Illinois",24.2205882352941,25.3373529411765,26.4392156862745,27.0588235294118,27.2950980392157,29.1323529411765,29.8637254901961,30.6,30.9529411764706,25.0058823529412,24.2078431372549,23.9862745098039,25.6490196078431,26.5774509803922,29.078431372549,27.8578431372549,27.093137254902,26.3274509803922
"15","Indiana",26.1021739130435,27.2453260869565,28.4076086956522,28.9608695652174,29.6521739130435,31.3978260869565,31.6978260869565,31.8217391304348,31.8130434782609,27.0326086956522,26.4565217391304,26.5923913043478,26.6467391304348,28.1869565217391,28.8489130434783,29.329347826087,28.1978260869565,29.6195652173913
"16","Iowa",25.1262626262626,26.0622222222222,27.3555555555556,27.7343434343434,28.5090909090909,29.9757575757576,30.5242424242424,30.9242424242424,31.720202020202,25.0424242424242,24.4535353535354,24.3111111111111,24.8454545454545,25.4868686868687,27.0808080808081,27.1878787878788,26.2090909090909,27.2282828282828
