"State","FIPS_Codes","County","number (men)_2009","number (women)_2009","number (men)_2010","number (women)_2010","number (men)_2011","number (women)_2011","number (men)_2012","number (women)_2012","percent (men)_2009","percent (women)_2009","percent (men)_2010","percent (women)_2010","percent (men)_2011","percent (women)_2011","percent (men)_2012","percent (women)_2012","Lat","Long"
"Alabama",1001,"Autauga County",5942,6082,5901,5861,6080,6259,5910,6274,35.3,33,32.2,29.1,32.2,30.5,31.3,30.5,32.536382,-86.64449
"Alabama",1003,"Baldwin County",17461,16783,18994,17354,18353,16652,19990,18255,27,24.2,28.7,24.5,27.2,23,29,24.5,30.659218,-87.746067
"Alabama",1005,"Barbour County",4261,4002,3900,3842,4054,3967,4265,4217,35.7,38.5,35,40,35.7,41.7,37.7,44.5,31.87067,-85.405456
"Alabama",1007,"Bibb County",2871,2589,3251,2633,3519,2904,3738,3188,34.6,33.4,35.2,33.3,37.8,36.8,40.2,40,33.015893,-87.127148
"Alabama",1009,"Blount County",7244,6514,6571,6118,6671,6403,6954,6834,34.2,29.9,32.2,28.6,32.3,29.5,33.5,31.3,33.977448,-86.567246
"Alabama",1011,"Bullock County",1642,1504,1696,1750,1711,1792,1822,1829,36.3,43.6,37.6,47.6,38.4,49.1,39.9,50.2,32.101759,-85.717261
"Alabama",1013,"Butler County",2513,3414,2452,3440,2427,3450,2327,3187,38.3,42.8,35.5,40.6,35.3,40.9,33.7,37.8,31.751667,-86.681969
"Alabama",1015,"Calhoun County",13710,14583,13885,15206,12717,14910,13013,15094,34.7,32.5,33.6,32.9,30.9,32.1,31.5,32.5,33.771706,-85.822513
"Alabama",1017,"Chambers County",4172,4910,4150,4934,4582,5601,4574,5727,34.9,35.4,34.6,36.1,38.3,40.9,37.8,41.5,32.917943,-85.391812
"Alabama",1019,"Cherokee County",2919,2853,3209,3002,3118,2936,3355,3216,32.3,29,33,29.8,31.6,28.9,33.9,31.6,34.069515,-85.654242
"Alabama",1021,"Chilton County",5645,5441,6131,5992,5858,5940,5919,5980,36.8,33.9,39.6,37,37.7,36.3,37.8,36.5,32.854059,-86.726627
"Alabama",1023,"Choctaw County",1703,2282,1782,2263,1790,2346,1724,2283,35.8,40.5,36.5,41.1,37.4,42.6,35.8,41.3,31.991008,-88.248887
"Alabama",1025,"Clarke County",3056,3579,3036,3692,2880,3689,2944,3778,35.1,35.7,35.1,36.7,33.5,36.7,34.1,37.8,31.685521,-87.818624
"Alabama",1027,"Clay County",1782,1784,1797,1891,1829,2006,1850,1992,35.3,33.3,35.9,34.7,37.3,37.5,37.7,37.7,33.267809,-85.862051
"Alabama",1029,"Cleburne County",1739,1547,1787,1667,1725,1653,1706,1630,31.9,27.9,33.1,29.6,31.8,29.2,31.4,28.7,33.671981,-85.516109
"Alabama",1031,"Coffee County",5660,5856,5636,5382,5253,5286,5642,5804,33.1,31.2,31.5,28.5,29.1,27.9,30.4,30,31.402183,-85.989201
"Alabama",1033,"Colbert County",6665,7001,6425,6783,6673,7298,7160,7980,34.4,32,33.2,31.2,34.5,33.4,36.9,36.4,34.703112,-87.801457
"Alabama",1035,"Conecuh County",1400,1774,1582,1977,1674,2177,1592,2059,31.8,33.9,34.1,38.3,35.9,41.9,34.3,39.9,31.428292,-86.992029
"Alabama",1037,"Coosa County",1357,1415,1451,1563,1533,1670,1607,1748,33.7,33.8,33.9,34.6,36.5,37.9,38,39.6,32.931445,-86.243482
"Alabama",1039,"Covington County",4885,5138,4727,4858,4508,4754,4387,4672,37.8,35.1,35.4,32.5,33.3,31.4,32.4,30.9,31.243987,-86.448721
"Alabama",1041,"Crenshaw County",1736,2025,1695,1953,1754,2071,1768,2044,37,37.3,35.4,36,36.1,37.9,35.7,37.3,31.732826,-86.319222
