"State","percent_2004","percent_2005","percent_2006","percent_2007","percent_2008","percent_2009","percent_2010","percent_2011","percent_2012","net_change","percent_2017","percent_2019","percent_2021","percent_2023","Change","percent_2025"
"Alabama",31.66,32.07,32.31,32.18,32.8,33.18,33.55,31.79,31.33,0.01,31.37,31.39,31.4,31.42,0.11,31.44
"Alaska",22.31,23.5,24.07,25.07,24.82,24.91,24.08,22.51,22.67,0.02,22.77,22.81,22.86,22.9,0.27,22.94
"Arizona",21.31,21.39,22.77,23.99,24.19,24.09,23.67,22.89,23.41,0.18,24.32,24.68,25.04,25.41,2.36,25.77
"Arkansas",31.45,31.31,31.67,31.48,32.06,32.63,32.7,32.82,34.13,0.17,34.97,35.31,35.64,35.98,2.19,36.32
"California",18.28,17.89,18.1,18.79,18.55,18.49,17.61,17.12,16.93,-0.13,16.28,16.02,15.75,15.49,-1.7,15.23
"Colorado",16.96,16.62,16.33,17.2,17.42,19.23,18.62,17.55,17.52,0.06,17.85,17.98,18.11,18.24,0.84,18.37
"Connecticut",19.59,19.76,20.27,20.54,21.41,22.12,22.21,21.07,21.45,0.17,22.3,22.64,22.98,23.32,2.21,23.66
"Delaware",25,24.1,24.23,24.67,24.83,25.43,25.5,25.03,25.93,0.01,26.01,26.04,26.07,26.1,0.19,26.13
"District of Columbia",20.8,20.9,20.4,20.2,19.9,19.7,18.7,17.5,17,-0.37,15.14,14.39,13.64,12.9,-4.85,12.15
"Florida",26.04,25.02,26.33,26.46,26.74,26.71,26.81,26.41,27.11,0.05,27.36,27.46,27.56,27.66,0.65,27.76
"Georgia",29.03,29.14,28.63,27.48,27.16,27.64,28.36,28.12,28.49,-0.1,28.01,27.81,27.62,27.43,-1.26,27.23
"Hawaii",19.1,18.62,17.9,17.64,17.78,18.04,19,18.68,19.8,-0.03,19.64,19.57,19.5,19.44,-0.43,19.37
"Idaho",21.65,22.08,22.03,22.75,22.94,23.53,22.66,21.63,22.4,0.01,22.44,22.46,22.47,22.48,0.09,22.5
"Illinois",25.01,24.21,23.99,25.65,26.58,29.08,27.86,27.09,26.33,0.22,27.44,27.88,28.33,28.77,2.89,29.22
"Indiana",27.03,26.46,26.59,26.65,28.19,28.85,29.33,28.2,29.62,0.15,30.35,30.65,30.94,31.24,1.91,31.53
"Iowa",25.04,24.45,24.31,24.85,25.49,27.08,27.19,26.21,27.23,0.14,27.94,28.22,28.51,28.79,1.85,29.08
"Kansas",26.49,26.04,26.2,26.69,26.77,27.65,27.83,27.48,27.77,0.11,28.34,28.57,28.79,29.02,1.48,29.25
"Kentucky",34.37,34.62,35,34.62,34.26,34.03,33.09,31.96,31.41,-0.27,30.04,29.49,28.94,28.39,-3.57,27.84
"Louisiana",32.84,33.04,33.21,32.62,31.99,31.43,32.24,32.18,32.37,-0.07,32.02,31.88,31.74,31.6,-0.91,31.46
"Maine",22.91,23.14,22.49,22.7,23.06,23.89,23.63,22.82,22.77,-0.01,22.72,22.7,22.68,22.65,-0.14,22.63
