"State","percent_2004","percent_2005","percent_2006","percent_2007","percent_2008","percent_2009","percent_2010","percent_2011","percent_2012","net_change","percent_2017","percent_2019","percent_2021","percent_2023","Change","percent_2025"
"Alabama",29.55,30.56,32.31,33.34,33.62,35.13,35.08,35.29,35.44,0.64,38.64,39.92,41.2,42.48,8.31,43.76
"Alaska",25.88,27.05,29.24,30.59,30.84,31,30.11,30.49,30.73,0.37,32.59,33.33,34.07,34.82,4.83,35.56
"Arizona",22.14,22.43,23.74,25.33,26.07,27.78,27.81,27.95,27.44,0.64,30.64,31.92,33.2,34.48,8.31,35.75
"Arkansas",27.21,28,29.4,30.06,31.32,33.18,33.62,34.14,34.99,0.78,38.9,40.46,42.02,43.58,10.15,45.14
"California",20.97,21.41,22.13,23.34,24.26,24.66,24.22,23.9,24.12,0.33,25.76,26.42,27.07,27.73,4.27,28.39
"Colorado",16.25,16.39,17.88,18.43,18.98,20.2,20.68,20.94,20.69,0.52,23.28,24.31,25.35,26.39,6.73,27.42
"Connecticut",19.66,20.48,21.55,22.04,22.98,23.64,24.35,25.02,24.96,0.6,27.94,29.13,30.32,31.51,7.74,32.7
"Delaware",24.97,25.69,27.73,28.93,29.5,29.73,30.13,29.77,30.4,0.54,33.11,34.19,35.27,36.35,7.03,37.43
"District of Columbia",20,21.09,21.5,22,21.2,21.5,21,21.5,22.1,0.17,22.97,23.32,23.67,24.01,2.26,24.36
"Florida",23.49,24.01,26.41,26.82,27.23,29.57,29.78,29.94,30.01,0.72,33.6,35.03,36.47,37.9,9.33,39.34
"Georgia",27.07,27.56,29.06,29.62,29.93,30.82,31.16,31.35,31.52,0.48,33.91,34.87,35.82,36.78,6.21,37.74
"Hawaii",19.36,20.9,21.08,21.62,22,23.56,23.06,22.94,22.46,0.39,24.42,25.2,25.99,26.77,5.09,27.55
"Idaho",22.89,24.16,25.56,26.59,26.51,27.61,27.64,28.4,28.83,0.62,31.92,33.15,34.39,35.62,8.02,36.86
